,@device,@rdgType,value,type,captured_at
0,Window,HUMIDITY,57.74,LIGHT+ENV,2021-09-02 11:01:00
1,Window,TEMPERATURE,25.39,LIGHT+ENV,2021-09-02 11:01:00
2,Window,LUX,175.0,LIGHT+ENV,2021-09-02 11:01:00
3,Window,PRESSURE,100412.0,LIGHT+ENV,2021-09-02 11:01:00
4,Window,LUX,2626.0,LIGHT+ENV,2021-09-02 11:04:01
5,Window,TEMPERATURE,24.09,LIGHT+ENV,2021-09-02 11:04:01
6,Window,PRESSURE,100415.0,LIGHT+ENV,2021-09-02 11:04:01
7,Window,HUMIDITY,62.24,LIGHT+ENV,2021-09-02 11:04:01
8,Window,LUX,1804.0,LIGHT+ENV,2021-09-02 11:06:00
9,Window,HUMIDITY,62.83,LIGHT+ENV,2021-09-02 11:06:00
10,Window,TEMPERATURE,23.85,LIGHT+ENV,2021-09-02 11:06:00
11,Window,PRESSURE,100416.0,LIGHT+ENV,2021-09-02 11:06:00
15,Window,HUMIDITY,62.77,LIGHT+ENV,2021-09-02 11:07:04
14,Window,TEMPERATURE,23.67,LIGHT+ENV,2021-09-02 11:07:04
12,Window,PRESSURE,100418.0,LIGHT+ENV,2021-09-02 11:07:04
13,Window,LUX,2063.0,LIGHT+ENV,2021-09-02 11:07:04
16,Window,PRESSURE,100419.0,LIGHT+ENV,2021-09-02 11:09:03
17,Window,LUX,1999.0,LIGHT+ENV,2021-09-02 11:09:03
18,Window,TEMPERATURE,23.54,LIGHT+ENV,2021-09-02 11:09:03
19,Window,HUMIDITY,63.14,LIGHT+ENV,2021-09-02 11:09:03
20,Window,TEMPERATURE,23.44,LIGHT+ENV,2021-09-02 11:11:01
21,Window,LUX,2538.0,LIGHT+ENV,2021-09-02 11:11:01
22,Window,PRESSURE,100418.0,LIGHT+ENV,2021-09-02 11:11:01
23,Window,HUMIDITY,64.36,LIGHT+ENV,2021-09-02 11:11:01
27,Window,PRESSURE,100418.0,LIGHT+ENV,2021-09-02 11:12:05
26,Window,TEMPERATURE,23.37,LIGHT+ENV,2021-09-02 11:12:05
24,Window,HUMIDITY,63.28,LIGHT+ENV,2021-09-02 11:12:05
25,Window,LUX,3016.0,LIGHT+ENV,2021-09-02 11:12:05
28,Window,PRESSURE,100419.0,LIGHT+ENV,2021-09-02 11:14:04
29,Window,LUX,2797.0,LIGHT+ENV,2021-09-02 11:14:04
30,Window,HUMIDITY,63.35,LIGHT+ENV,2021-09-02 11:14:04
31,Window,TEMPERATURE,23.34,LIGHT+ENV,2021-09-02 11:14:04
32,Window,LUX,2485.0,LIGHT+ENV,2021-09-02 11:16:02
33,Window,PRESSURE,100420.0,LIGHT+ENV,2021-09-02 11:16:02
34,Window,HUMIDITY,59.39,LIGHT+ENV,2021-09-02 11:16:02
35,Window,TEMPERATURE,23.29,LIGHT+ENV,2021-09-02 11:16:02
38,Window,LUX,3436.0,LIGHT+ENV,2021-09-02 11:18:00
39,Window,TEMPERATURE,23.0,LIGHT+ENV,2021-09-02 11:18:00
37,Window,HUMIDITY,61.11,LIGHT+ENV,2021-09-02 11:18:00
36,Window,PRESSURE,100420.0,LIGHT+ENV,2021-09-02 11:18:00
40,Window,PRESSURE,100421.0,LIGHT+ENV,2021-09-02 11:19:04
41,Window,TEMPERATURE,22.58,LIGHT+ENV,2021-09-02 11:19:04
42,Window,HUMIDITY,62.06,LIGHT+ENV,2021-09-02 11:19:04
43,Window,LUX,3732.0,LIGHT+ENV,2021-09-02 11:19:04
44,Window,LUX,4518.0,LIGHT+ENV,2021-09-02 11:21:02
45,Window,PRESSURE,100422.0,LIGHT+ENV,2021-09-02 11:21:02
46,Window,HUMIDITY,62.06,LIGHT+ENV,2021-09-02 11:21:02
47,Window,TEMPERATURE,22.14,LIGHT+ENV,2021-09-02 11:21:02
51,Window,PRESSURE,100425.0,LIGHT+ENV,2021-09-02 11:23:01
50,Window,LUX,4461.0,LIGHT+ENV,2021-09-02 11:23:01
48,Window,HUMIDITY,62.85,LIGHT+ENV,2021-09-02 11:23:01
49,Window,TEMPERATURE,21.71,LIGHT+ENV,2021-09-02 11:23:01
52,Window,TEMPERATURE,21.56,LIGHT+ENV,2021-09-02 11:24:05
53,Window,LUX,3516.0,LIGHT+ENV,2021-09-02 11:24:05
54,Window,PRESSURE,100425.0,LIGHT+ENV,2021-09-02 11:24:05
55,Window,HUMIDITY,63.61,LIGHT+ENV,2021-09-02 11:24:05
56,Window,HUMIDITY,63.39,LIGHT+ENV,2021-09-02 11:26:03
57,Window,LUX,3643.0,LIGHT+ENV,2021-09-02 11:26:03
58,Window,TEMPERATURE,21.58,LIGHT+ENV,2021-09-02 11:26:03
59,Window,PRESSURE,100426.0,LIGHT+ENV,2021-09-02 11:26:03
63,Window,HUMIDITY,63.15,LIGHT+ENV,2021-09-02 11:28:01
62,Window,TEMPERATURE,21.7,LIGHT+ENV,2021-09-02 11:28:01
60,Window,PRESSURE,100427.0,LIGHT+ENV,2021-09-02 11:28:01
61,Window,LUX,3141.0,LIGHT+ENV,2021-09-02 11:28:01
64,Window,LUX,3777.0,LIGHT+ENV,2021-09-02 11:30:00
65,Window,PRESSURE,100426.0,LIGHT+ENV,2021-09-02 11:30:00
66,Window,TEMPERATURE,21.85,LIGHT+ENV,2021-09-02 11:30:00
67,Window,HUMIDITY,63.3,LIGHT+ENV,2021-09-02 11:30:00
68,Window,LUX,6431.0,LIGHT+ENV,2021-09-02 11:31:04
69,Window,TEMPERATURE,22.01,LIGHT+ENV,2021-09-02 11:31:04
70,Window,HUMIDITY,63.19,LIGHT+ENV,2021-09-02 11:31:04
71,Window,PRESSURE,100427.0,LIGHT+ENV,2021-09-02 11:31:04
74,Window,HUMIDITY,63.01,LIGHT+ENV,2021-09-02 11:33:02
75,Window,LUX,5728.0,LIGHT+ENV,2021-09-02 11:33:02
73,Window,PRESSURE,100427.0,LIGHT+ENV,2021-09-02 11:33:02
72,Window,TEMPERATURE,22.17,LIGHT+ENV,2021-09-02 11:33:02
76,Window,LUX,4873.0,LIGHT+ENV,2021-09-02 11:35:00
77,Window,HUMIDITY,63.13,LIGHT+ENV,2021-09-02 11:35:00
