,@device,@rdgType,value,type,captured_at
0,Workshop,LUX,3.0,LIGHT+ENV,2021-09-09 11:47:04
1,Workshop,TEMPERATURE,25.59,LIGHT+ENV,2021-09-09 11:48:04
2,Workshop,PRESSURE,100658.04688,LIGHT+ENV,2021-09-09 11:48:04
3,Workshop,LUX,3.0,LIGHT+ENV,2021-09-09 11:48:04
4,Workshop,HUMIDITY,49.7,LIGHT+ENV,2021-09-09 11:48:04
5,Workshop,LUX,3.0,LIGHT+ENV,2021-09-09 11:50:02
6,Workshop,HUMIDITY,47.06,LIGHT+ENV,2021-09-09 11:50:02
7,Workshop,PRESSURE,100659.5625,LIGHT+ENV,2021-09-09 11:50:02
8,Workshop,TEMPERATURE,25.74,LIGHT+ENV,2021-09-09 11:50:02
9,Workshop,PRESSURE,100660.20313,LIGHT+ENV,2021-09-09 11:52:00
10,Workshop,LUX,1943.0,LIGHT+ENV,2021-09-09 11:52:00
11,Workshop,HUMIDITY,51.94,LIGHT+ENV,2021-09-09 11:52:00
12,Workshop,TEMPERATURE,25.96,LIGHT+ENV,2021-09-09 11:52:00
16,Workshop,PRESSURE,100657.27344,LIGHT+ENV,2021-09-09 11:53:05
15,Workshop,LUX,1807.0,LIGHT+ENV,2021-09-09 11:53:05
13,Workshop,TEMPERATURE,25.58,LIGHT+ENV,2021-09-09 11:53:05
14,Workshop,HUMIDITY,43.98,LIGHT+ENV,2021-09-09 11:53:05
17,Workshop,PRESSURE,100655.46094,LIGHT+ENV,2021-09-09 11:55:03
18,Workshop,TEMPERATURE,25.19,LIGHT+ENV,2021-09-09 11:55:03
19,Workshop,HUMIDITY,46.56,LIGHT+ENV,2021-09-09 11:55:03
20,Workshop,LUX,1569.0,LIGHT+ENV,2021-09-09 11:55:03
21,Workshop,HUMIDITY,41.37,LIGHT+ENV,2021-09-09 11:57:02
22,Workshop,LUX,1165.0,LIGHT+ENV,2021-09-09 11:57:02
23,Workshop,TEMPERATURE,24.91,LIGHT+ENV,2021-09-09 11:57:02
24,Workshop,PRESSURE,100647.97656,LIGHT+ENV,2021-09-09 11:57:02
25,Workshop,PRESSURE,100652.45313,LIGHT+ENV,2021-09-09 11:59:00
26,Workshop,TEMPERATURE,24.7,LIGHT+ENV,2021-09-09 11:59:00
27,Workshop,LUX,1009.0,LIGHT+ENV,2021-09-09 11:59:00
28,Workshop,HUMIDITY,40.46,LIGHT+ENV,2021-09-09 11:59:00
